time,load,container
1610077472,1,1
1610077473,1,2
1610077474,0,2
1610077475,1,2
1610077476,0,2
1610077477,0,2
1610077478,1,2
1610077479,0,2
1610077480,1,2
1610077481,1,2
1610077482,0,2
1610077483,0,2
1610077484,0,2
1610077485,0,2
1610077486,0,2
1610077487,1,2
1610077488,0,2
1610077489,0,2
1610077490,0,2
1610077491,0,2
1610077492,0,2
1610077493,0,2
1610077494,0,2
1610077495,0,2
1610077496,0,2
1610077497,0,2
1610077498,0,2
1610077499,0,2
1610077500,0,2
1610077501,0,2
1610077502,0,2
1610077503,0,2
1610077504,0,2
1610077505,0,2
1610077506,0,2
1610077507,0,1
1610077508,0,1
1610077509,0,1
1610077510,0,1
1610077511,0,1
1610077512,0,1
1610077513,0,1
1610077514,0,1
1610077515,0,1
1610077516,0,1
1610077517,0,1
1610077518,0,1
1610077519,1,1
1610077520,0,1
1610077521,1,1
1610077522,1,1
1610077523,1,1
1610077524,1,1
1610077525,1,1
1610077526,1,1
1610077527,1,1
1610077528,1,1
1610077529,1,1
1610077530,1,1
1610077531,1,1
1610077532,1,1
1610077533,1,1
1610077534,1,1
1610077535,1,0
1610077536,1,1
1610077537,1,1
1610077538,1,2
1610077539,2,3
1610077540,1,4
1610077541,2,5
1610077542,3,5
1610077543,1,5
1610077544,1,5
1610077545,0,5
1610077546,0,5
1610077547,0,5
1610077548,0,5
1610077549,2,5
1610077550,0,5
1610077551,1,5
1610077552,2,5
1610077553,2,5
1610077554,1,5
1610077555,1,5
1610077556,0,5
1610077557,1,5
1610077558,0,5
1610077559,0,5
1610077560,1,5
1610077561,0,5
1610077562,1,5
1610077563,1,5
1610077564,0,5
1610077565,2,5
1610077566,1,5
1610077567,0,5
1610077568,0,5
1610077569,0,5
1610077570,0,5
1610077571,0,5
1610077572,0,5
1610077573,0,4
1610077574,0,4
1610077575,2,3
1610077576,0,3
1610077577,0,3
1610077578,0,3
1610077579,0,3
1610077580,0,3
1610077581,0,3
1610077582,0,3
1610077583,0,3
1610077584,0,3
1610077585,0,3
1610077586,1,3
1610077587,0,3
1610077588,0,3
1610077589,0,2
1610077590,0,2
1610077591,1,2
1610077592,0,2
1610077593,0,2
1610077594,1,2
1610077595,0,2
1610077596,0,2
1610077597,0,2
1610077598,0,2
1610077599,0,2
1610077600,0,2
1610077601,0,2
1610077602,0,2
1610077603,0,2
1610077604,1,2
1610077605,0,2
1610077606,0,2
1610077607,0,2
1610077608,0,2
1610077609,1,2
1610077610,0,2
1610077611,0,2
1610077612,0,2
1610077613,0,2
1610077614,2,2
1610077615,0,2
1610077616,1,2
1610077617,1,2
1610077618,0,2
1610077619,1,2
1610077620,0,2
1610077621,0,2
1610077622,1,2
1610077623,0,1
1610077624,1,1
1610077625,1,1
1610077626,1,1
1610077627,1,1
1610077628,1,1
1610077629,2,1
1610077630,1,1
1610077631,1,2
1610077632,1,2
1610077633,1,2
1610077634,2,2
1610077635,2,2
1610077636,2,2
1610077637,1,2
1610077638,1,2
1610077639,1,2
1610077640,1,2
1610077641,1,2
1610077642,1,2
1610077643,1,2
1610077644,0,2
1610077645,1,2
1610077646,1,2
1610077647,1,2
1610077648,1,2
1610077649,1,2
1610077650,1,2
1610077651,1,2
1610077652,2,2
1610077653,0,2
1610077654,0,2
1610077655,0,2
1610077656,0,2
1610077657,0,2
1610077658,0,2
1610077659,0,2
1610077660,0,2
1610077661,0,2
1610077662,0,2
1610077663,0,2
1610077664,0,2
